id,session_id,raw_text,predicted_intent,text_hash,cleaned_text
23,trend_user_22,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Tà Năng,search_activity,395a75092027dd448a1eb6493fe34541,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Tà Năng
24,trend_user_23,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Tà Xùa,search_price,8d79478da56b45d0963befa9beea2166,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Tà Xùa
25,trend_user_24,resort ở Măng Đen có cho mang theo chó mèo thú cưng không,search_activity,67d0e78e1a8eeb382b64838024cef00e,resort ở Măng Đen có cho mang theo chó mèo thú cưng không
26,trend_user_25,tư vấn lịch trình đi Hà Giang tự túc 5 ngày,ask_tour_info,93f86d45db27898bea58a403bf00a6d2,tư vấn lịch trình đi Hà Giang tự túc 5 ngày
27,trend_user_26,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Phú Quý,search_travel,9be66669292864f7c8e68fcc6d830782,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Phú Quý
28,trend_user_27,tour Phú Quý có bao gồm vé xe giường nằm cabin đôi không,search_price,7d51a91bcc08783583754d930a3d6cb1,tour Phú Quý có bao gồm vé xe giường nằm cabin đôi không
29,trend_user_28,người lớn tuổi ngồi xe lăn có đi tour Măng Đen 4 ngày được không,search_travel,5e44d81cc9c011d51ed07c04aae71316,người lớn tuổi ngồi xe lăn có đi tour Măng Đen 4 ngày được không
30,trend_user_29,cho mình xin báo giá glamping ở Măng Đen cho 4 người,search_activity,08f19e6bc9ed08a8b0740f2b00ead55e,cho mình xin báo giá glamping ở Măng Đen cho 4 người
31,trend_user_30,review đi săn mây ở Tà Năng 4 ngày 3 đêm,search_activity,7299fff4a444e22a17bff2eaba8d1782,review đi săn mây ở Tà Năng 4 ngày 3 đêm
33,trend_user_32,tư vấn lịch trình đi Tà Năng tự túc 5 ngày,ask_tour_info,ce7b18928b4d8249662f5261bddb75db,tư vấn lịch trình đi Tà Năng tự túc 5 ngày
34,trend_user_33,chi phí đi trekking băng rừng ở Tà Xùa cho nhóm 2 người,ask_tour_info,2f72d71124c9e2678e078ad6b4cf20fb,chi phí đi trekking băng rừng ở Tà Xùa cho nhóm 2 người
35,trend_user_34,người lớn tuổi ngồi xe lăn có đi tour Trị An 4 ngày được không,search_price,97750ba6bde338ca224fea77189d2f47,người lớn tuổi ngồi xe lăn có đi tour Trị An 4 ngày được không
37,trend_user_36,nhóm mình 12 người lớn 4 trẻ em đi Phú Quý thì phụ thu sao,search_activity,7cf0648043996afcb2956bffc673624a,nhóm mình 12 người lớn 4 trẻ em đi Phú Quý thì phụ thu sao
39,trend_user_38,cho mình xin báo giá glamping ở Trị An cho 14 người,search_activity,d4ae67a98429157c51ea299532963fe0,cho mình xin báo giá glamping ở Trị An cho 14 người
41,trend_user_40,tư vấn lịch trình đi Tà Năng tự túc 3 ngày,ask_tour_info,a1046d64c3a7ddc4ed13879c300f4d8f,tư vấn lịch trình đi Tà Năng tự túc 3 ngày
42,trend_user_41,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 5 người,search_travel,efffb0930afc665efa725f09ca489f01,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 5 người
43,trend_user_42,người lớn tuổi ngồi xe lăn có đi tour Hà Giang 2 ngày được không,search_activity,55ed24e5453a2ea16e4834c1ac644046,người lớn tuổi ngồi xe lăn có đi tour Hà Giang 2 ngày được không
44,trend_user_43,chi phí đi trekking băng rừng ở Trị An cho nhóm 15 người,ask_tour_info,ba381d28dbfe0be9026f24e21ec9f15f,chi phí đi trekking băng rừng ở Trị An cho nhóm 15 người
47,trend_user_46,ở Hà Giang có khu glamping nào view đẹp không,search_travel,5c9101c0e02bb45069d31f30ebba8b70,ở Hà Giang có khu glamping nào view đẹp không
49,trend_user_48,mình muốn tìm bãi cắm trại staycation gần Tà Xùa đi 3 ngày,ask_tour_info,256992ffabf2b640c95e7711d8a9489d,mình muốn tìm bãi cắm trại staycation gần Tà Xùa đi 3 ngày
50,trend_user_49,resort ở Tà Năng có cho mang theo chó mèo thú cưng không,search_activity,34a89185c56cad3f4958925a7bb4d7a9,resort ở Tà Năng có cho mang theo chó mèo thú cưng không
52,trend_user_51,có tour chữa lành nào đi Tà Xùa khoảng 2 ngày không,search_travel,a4de6e1d747245f74852436834b7f909,có tour chữa lành nào đi Tà Xùa khoảng 2 ngày không
53,trend_user_52,ở Tà Xùa có khu glamping nào view đẹp không,ask_tour_info,0700c69736fc70b0990c1cd71df1d21d,ở Tà Xùa có khu glamping nào view đẹp không
54,trend_user_53,cho mình xin báo giá glamping ở Phú Quý cho 10 người,search_travel,b9af675c722a1fe612250fb6e187af01,cho mình xin báo giá glamping ở Phú Quý cho 10 người
55,trend_user_54,mình muốn tìm bãi cắm trại staycation gần Phú Quý đi 3 ngày,search_activity,bb6062105ac0f7a0fd16e1dd98cc66a6,mình muốn tìm bãi cắm trại staycation gần Phú Quý đi 3 ngày
56,trend_user_55,cho mình xin báo giá glamping ở Phú Quý cho 6 người,search_activity,ce573cd9318f3ca5b5280ed192ee71c5,cho mình xin báo giá glamping ở Phú Quý cho 6 người
57,trend_user_56,mình muốn tìm bãi cắm trại staycation gần Hà Giang đi 5 ngày,search_price,e42d6301299d6b8c70f3cfd6bf321737,mình muốn tìm bãi cắm trại staycation gần Hà Giang đi 5 ngày
58,trend_user_57,cho mình xin báo giá glamping ở Hà Giang cho 3 người,ask_tour_info,d135a631852803549eed0d779528fb4b,cho mình xin báo giá glamping ở Hà Giang cho 3 người
59,trend_user_58,review đi săn mây ở Tà Năng 2 ngày 1 đêm,ask_tour_info,74bcd379e7afb1a44bdaf213cd384722,review đi săn mây ở Tà Năng 2 ngày 1 đêm
61,trend_user_60,review đi săn mây ở Hà Giang 4 ngày 3 đêm,search_price,dc349656c8358e1ff0520c293c107889,review đi săn mây ở Hà Giang 4 ngày 3 đêm
63,trend_user_62,mình muốn tìm bãi cắm trại staycation gần Măng Đen đi 4 ngày,search_travel,1183012d8195e17e8460f4aa6ea6e922,mình muốn tìm bãi cắm trại staycation gần Măng Đen đi 4 ngày
64,trend_user_63,mình muốn tìm bãi cắm trại staycation gần Tà Xùa đi 2 ngày,search_price,f2a99dacc9ef9d9fdf079c4b795b46bc,mình muốn tìm bãi cắm trại staycation gần Tà Xùa đi 2 ngày
65,trend_user_64,người lớn tuổi ngồi xe lăn có đi tour Măng Đen 2 ngày được không,search_price,70aa508cf17e1bb542d517c0a57daf69,người lớn tuổi ngồi xe lăn có đi tour Măng Đen 2 ngày được không
66,trend_user_65,ở Phú Quý có khu glamping nào view đẹp không,search_activity,2d3a1782ed3f9908d7ccb8bdb77dbf21,ở Phú Quý có khu glamping nào view đẹp không
67,trend_user_66,ở Măng Đen có khu glamping nào view đẹp không,search_activity,698fa7e51989c278b2487d1f010ca37b,ở Măng Đen có khu glamping nào view đẹp không
68,trend_user_67,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Măng Đen,ask_tour_info,64b70886ce199c8c00cb2c0cb4401713,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Măng Đen
69,trend_user_68,tư vấn lịch trình đi Phú Quý tự túc 2 ngày,search_activity,d137ac69efe30840de5112477a99b947,tư vấn lịch trình đi Phú Quý tự túc 2 ngày
70,trend_user_69,tư vấn lịch trình đi Phú Quý tự túc 4 ngày,ask_tour_info,fccf476506206b7e1263d99172a9c7d7,tư vấn lịch trình đi Phú Quý tự túc 4 ngày
71,trend_user_70,tour Hà Giang có bao gồm vé xe giường nằm cabin đôi không,search_activity,31ad3b09c788cb926320238b05fd7ed9,tour Hà Giang có bao gồm vé xe giường nằm cabin đôi không
73,trend_user_72,cho mình xin báo giá glamping ở Măng Đen cho 6 người,ask_tour_info,63b38b06df34ebfbdb4e2305efeefd49,cho mình xin báo giá glamping ở Măng Đen cho 6 người
74,trend_user_73,người lớn tuổi ngồi xe lăn có đi tour Phú Quý 5 ngày được không,search_travel,121f0d36319943d32d3161dbdad5f5f6,người lớn tuổi ngồi xe lăn có đi tour Phú Quý 5 ngày được không
75,trend_user_74,người lớn tuổi ngồi xe lăn có đi tour Măng Đen 5 ngày được không,search_activity,becc5a9ea4b5bc61888094f864bb450e,người lớn tuổi ngồi xe lăn có đi tour Măng Đen 5 ngày được không
77,trend_user_76,nhóm mình 2 người lớn 1 trẻ em đi Tà Năng thì phụ thu sao,search_travel,14b9ce9b0b29378af6a6b576322ce810,nhóm mình 2 người lớn 1 trẻ em đi Tà Năng thì phụ thu sao
78,trend_user_77,tư vấn lịch trình đi Măng Đen tự túc 5 ngày,search_activity,2056f800f0a2da745e1a46ddeb2c7e96,tư vấn lịch trình đi Măng Đen tự túc 5 ngày
79,trend_user_78,tư vấn lịch trình đi Măng Đen tự túc 3 ngày,search_travel,14da4ca20a3d66d3bd9b27936cc10692,tư vấn lịch trình đi Măng Đen tự túc 3 ngày
80,trend_user_79,nhóm mình 5 người lớn 3 trẻ em đi Trị An thì phụ thu sao,ask_tour_info,8ef6ffbd0c3cd679dbba27a67609dca5,nhóm mình 5 người lớn 3 trẻ em đi Trị An thì phụ thu sao
81,trend_user_80,chi phí đi trekking băng rừng ở Trị An cho nhóm 11 người,search_travel,eb170205805b39c3a19be7cc37967935,chi phí đi trekking băng rừng ở Trị An cho nhóm 11 người
82,trend_user_81,mình muốn tìm bãi cắm trại staycation gần Tà Năng đi 2 ngày,search_activity,dba73b0ab3c8a9a6d7db84401a23cfae,mình muốn tìm bãi cắm trại staycation gần Tà Năng đi 2 ngày
83,trend_user_82,cho mình xin báo giá glamping ở Tà Xùa cho 3 người,search_activity,2d0aaaa9a3a48e3ce036fa44c354d6cd,cho mình xin báo giá glamping ở Tà Xùa cho 3 người
84,trend_user_83,tư vấn lịch trình đi Trị An tự túc 4 ngày,search_activity,8a3fa94666748076df2cb4fc0db954e7,tư vấn lịch trình đi Trị An tự túc 4 ngày
88,trend_user_87,mình muốn tìm bãi cắm trại staycation gần Măng Đen đi 5 ngày,search_price,35d6bd540754c253f4084152d48a5056,mình muốn tìm bãi cắm trại staycation gần Măng Đen đi 5 ngày
91,trend_user_90,nhóm mình 2 người lớn 3 trẻ em đi Tà Xùa thì phụ thu sao,search_price,27a0ff9a2632eb8745c4c2cde9347863,nhóm mình 2 người lớn 3 trẻ em đi Tà Xùa thì phụ thu sao
92,trend_user_91,review đi săn mây ở Tà Xùa 5 ngày 4 đêm,search_activity,d86a7cf47378c92547af6571cf05b4d2,review đi săn mây ở Tà Xùa 5 ngày 4 đêm
93,trend_user_92,chi phí đi trekking băng rừng ở Tà Xùa cho nhóm 9 người,search_activity,b19e0a01e7bfde084b811952a2889233,chi phí đi trekking băng rừng ở Tà Xùa cho nhóm 9 người
94,trend_user_93,review đi săn mây ở Hà Giang 2 ngày 1 đêm,ask_tour_info,1da81c7bc2da155aa1103ff205496b28,review đi săn mây ở Hà Giang 2 ngày 1 đêm
96,trend_user_95,cho mình xin báo giá glamping ở Trị An cho 7 người,search_price,e20385b7dd8bffadb2917d7d4e91040e,cho mình xin báo giá glamping ở Trị An cho 7 người
101,trend_user_100,có tour chữa lành nào đi Tà Xùa khoảng 4 ngày không,search_price,35bc25c310229b206ca9b67b6d77a99e,có tour chữa lành nào đi Tà Xùa khoảng 4 ngày không
103,trend_user_102,cho mình xin báo giá glamping ở Trị An cho 6 người,search_travel,2daa9fd00ee95c549fdf5fea0c35ae82,cho mình xin báo giá glamping ở Trị An cho 6 người
104,trend_user_103,review đi săn mây ở Phú Quý 5 ngày 4 đêm,ask_tour_info,d3f017dbcc61a2c5ce318034b3ec36f2,review đi săn mây ở Phú Quý 5 ngày 4 đêm
106,trend_user_105,người lớn tuổi ngồi xe lăn có đi tour Tà Xùa 5 ngày được không,search_price,cb346064e81f08d58fabb60c1c57a7ba,người lớn tuổi ngồi xe lăn có đi tour Tà Xùa 5 ngày được không
109,trend_user_108,có tour chữa lành nào đi Măng Đen khoảng 2 ngày không,ask_tour_info,ea145f5d2a2e013727cf8bffa86c7174,có tour chữa lành nào đi Măng Đen khoảng 2 ngày không
111,trend_user_110,cho mình xin báo giá glamping ở Măng Đen cho 3 người,search_price,09d2791d732bdc92b176fb51e3d7e1a9,cho mình xin báo giá glamping ở Măng Đen cho 3 người
112,trend_user_111,nhóm mình 6 người lớn 3 trẻ em đi Phú Quý thì phụ thu sao,search_price,c23c3644009db9579c81a754051d8bdc,nhóm mình 6 người lớn 3 trẻ em đi Phú Quý thì phụ thu sao
115,trend_user_114,có tour chữa lành nào đi Hà Giang khoảng 3 ngày không,search_activity,1f0d9c6dcf280b72d0f67e8031965949,có tour chữa lành nào đi Hà Giang khoảng 3 ngày không
117,trend_user_116,tư vấn lịch trình đi Hà Giang tự túc 2 ngày,search_price,b046822a30b992e06b90eff1d1302416,tư vấn lịch trình đi Hà Giang tự túc 2 ngày
118,trend_user_117,cho mình xin báo giá glamping ở Trị An cho 5 người,ask_tour_info,3c35123bdc5a1498758cfbb649959404,cho mình xin báo giá glamping ở Trị An cho 5 người
120,trend_user_119,có tour chữa lành nào đi Tà Xùa khoảng 3 ngày không,search_travel,4b4aee565853dfba83c5c91e70105946,có tour chữa lành nào đi Tà Xùa khoảng 3 ngày không
121,trend_user_120,chi phí đi trekking băng rừng ở Phú Quý cho nhóm 13 người,ask_tour_info,54350e7a7ba2f4ee4b02625e245a0cde,chi phí đi trekking băng rừng ở Phú Quý cho nhóm 13 người
122,trend_user_121,cho mình xin báo giá glamping ở Trị An cho 15 người,search_travel,28db63e8d45997efb699f47132bd5420,cho mình xin báo giá glamping ở Trị An cho 15 người
123,trend_user_122,mình muốn tìm bãi cắm trại staycation gần Măng Đen đi 2 ngày,search_travel,6e06e94e7dffbd938e1693529fdb2f88,mình muốn tìm bãi cắm trại staycation gần Măng Đen đi 2 ngày
124,trend_user_123,review đi săn mây ở Tà Xùa 4 ngày 3 đêm,search_price,9c5c73f582ec5d9722ceeac96982350e,review đi săn mây ở Tà Xùa 4 ngày 3 đêm
125,trend_user_124,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Hà Giang,search_activity,d70bc95a173749f076c7868252318775,mình cần tìm nơi yên tĩnh để nghỉ dưỡng chữa lành tại Hà Giang
127,trend_user_126,người lớn tuổi ngồi xe lăn có đi tour Tà Xùa 4 ngày được không,search_activity,6ccd2b445cd2777f6cc91473dda0c8b3,người lớn tuổi ngồi xe lăn có đi tour Tà Xùa 4 ngày được không
128,trend_user_127,có tour chữa lành nào đi Trị An khoảng 4 ngày không,ask_tour_info,f5685bd6fc61e05de6a2a0b9ccb70d79,có tour chữa lành nào đi Trị An khoảng 4 ngày không
130,trend_user_129,review đi săn mây ở Trị An 3 ngày 2 đêm,search_travel,98160f975a93714eccb043e2370646e6,review đi săn mây ở Trị An 3 ngày 2 đêm
133,trend_user_132,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 9 người,search_travel,f4f6671bbb1ca4033108c8ea5c8c555e,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 9 người
135,trend_user_134,cho mình xin báo giá glamping ở Phú Quý cho 14 người,ask_tour_info,58a930c9035009f2619365a1f64ba611,cho mình xin báo giá glamping ở Phú Quý cho 14 người
138,trend_user_137,mình muốn tìm bãi cắm trại staycation gần Tà Năng đi 5 ngày,search_price,312abb5a8db989f386d28efc00bc28d8,mình muốn tìm bãi cắm trại staycation gần Tà Năng đi 5 ngày
139,trend_user_138,review đi săn mây ở Măng Đen 3 ngày 2 đêm,search_activity,87a8dd6286cf3db543d7aa3f19a99137,review đi săn mây ở Măng Đen 3 ngày 2 đêm
140,trend_user_139,có tour chữa lành nào đi Tà Năng khoảng 3 ngày không,ask_tour_info,186456885689fda4871845387da23f92,có tour chữa lành nào đi Tà Năng khoảng 3 ngày không
142,trend_user_141,tour Tà Năng có bao gồm vé xe giường nằm cabin đôi không,search_activity,85e2533c826f940c168e590316ec2675,tour Tà Năng có bao gồm vé xe giường nằm cabin đôi không
143,trend_user_142,cho mình xin báo giá glamping ở Hà Giang cho 7 người,search_activity,9efcfe4ed1f916e96b43ec7d8fad37ab,cho mình xin báo giá glamping ở Hà Giang cho 7 người
146,trend_user_145,người lớn tuổi ngồi xe lăn có đi tour Tà Xùa 3 ngày được không,search_price,f92803415ade377ee9f92e7461b0e25a,người lớn tuổi ngồi xe lăn có đi tour Tà Xùa 3 ngày được không
147,trend_user_146,nhóm mình 2 người lớn 1 trẻ em đi Trị An thì phụ thu sao,search_price,68ed2c701a4ac20e2c65bd9e3eb01d17,nhóm mình 2 người lớn 1 trẻ em đi Trị An thì phụ thu sao
150,trend_user_149,mình muốn tìm bãi cắm trại staycation gần Trị An đi 2 ngày,ask_tour_info,ef3522aca374f995904f1d501806b2fc,mình muốn tìm bãi cắm trại staycation gần Trị An đi 2 ngày
151,trend_user_150,chi phí đi trekking băng rừng ở Trị An cho nhóm 2 người,search_price,f9a0c260c03d3f93ec20239defc53be0,chi phí đi trekking băng rừng ở Trị An cho nhóm 2 người
154,trend_user_153,resort ở Trị An có cho mang theo chó mèo thú cưng không,search_activity,06157330d9e862cac0c0e4d2a5282ad5,resort ở Trị An có cho mang theo chó mèo thú cưng không
159,trend_user_158,tư vấn lịch trình đi Tà Xùa tự túc 2 ngày,search_travel,4c129f1cffb11715a0067779c60a0198,tư vấn lịch trình đi Tà Xùa tự túc 2 ngày
160,trend_user_159,cho mình xin báo giá glamping ở Tà Xùa cho 4 người,search_activity,13d87176d0cf95f868929f28d7a3e4d5,cho mình xin báo giá glamping ở Tà Xùa cho 4 người
161,trend_user_160,có tour chữa lành nào đi Măng Đen khoảng 3 ngày không,search_travel,5e6281a0e6cf076341cb0cef5a10658e,có tour chữa lành nào đi Măng Đen khoảng 3 ngày không
162,trend_user_161,tư vấn lịch trình đi Măng Đen tự túc 4 ngày,search_activity,51c831f9e1e2a2fe1cfb2e31c6960a0d,tư vấn lịch trình đi Măng Đen tự túc 4 ngày
165,trend_user_164,review đi săn mây ở Phú Quý 4 ngày 3 đêm,ask_tour_info,394fa72a93db309734f1daf642ab5275,review đi săn mây ở Phú Quý 4 ngày 3 đêm
166,trend_user_165,tư vấn lịch trình đi Tà Xùa tự túc 5 ngày,search_travel,ad35129e6e16cfc45be53c63e653d368,tư vấn lịch trình đi Tà Xùa tự túc 5 ngày
168,trend_user_167,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 9 người,search_activity,6572c28eb077fa1e7c9852c2afbc877d,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 9 người
171,trend_user_170,người lớn tuổi ngồi xe lăn có đi tour Tà Năng 4 ngày được không,search_activity,13bf4556819baf052fb995613da1ecaa,người lớn tuổi ngồi xe lăn có đi tour Tà Năng 4 ngày được không
172,trend_user_171,review đi săn mây ở Măng Đen 2 ngày 1 đêm,search_price,0c973187071e9918a07ef105c321132b,review đi săn mây ở Măng Đen 2 ngày 1 đêm
173,trend_user_172,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 3 người,search_price,71016785d39cf6ad50bb7cffe1d68e87,chi phí đi trekking băng rừng ở Tà Năng cho nhóm 3 người
174,trend_user_173,có tour chữa lành nào đi Phú Quý khoảng 2 ngày không,search_activity,91520d32940d640a0bfafde98ea63b3a,có tour chữa lành nào đi Phú Quý khoảng 2 ngày không
177,trend_user_176,cho mình xin báo giá glamping ở Tà Xùa cho 11 người,ask_tour_info,051d9371293c17e45dbc4c0e1b134dcf,cho mình xin báo giá glamping ở Tà Xùa cho 11 người
179,trend_user_178,mình muốn tìm bãi cắm trại staycation gần Tà Năng đi 3 ngày,ask_tour_info,b83f1a7912cee697cecf042cb01c08d5,mình muốn tìm bãi cắm trại staycation gần Tà Năng đi 3 ngày
181,trend_user_180,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 15 người,search_travel,49deccc1e7197412771d5d76ee2789c6,chi phí đi trekking băng rừng ở Măng Đen cho nhóm 15 người
183,trend_user_182,cho mình xin báo giá glamping ở Hà Giang cho 2 người,search_activity,e897a215ca5967ef2703a67f8e15beb3,cho mình xin báo giá glamping ở Hà Giang cho 2 người
184,trend_user_183,chi phí đi trekking băng rừng ở Hà Giang cho nhóm 9 người,search_travel,45820568442f3b715821b72adc21e9af,chi phí đi trekking băng rừng ở Hà Giang cho nhóm 9 người
186,trend_user_185,nhóm mình 2 người lớn 4 trẻ em đi Tà Năng thì phụ thu sao,search_activity,5c8e5cbc57db038b4b1d4c7de0d58349,nhóm mình 2 người lớn 4 trẻ em đi Tà Năng thì phụ thu sao
187,trend_user_186,chi phí đi trekking băng rừng ở Phú Quý cho nhóm 2 người,search_activity,de58ab407a97e7b266a73d4643aa5b5b,chi phí đi trekking băng rừng ở Phú Quý cho nhóm 2 người
188,trend_user_187,nhóm mình 12 người lớn 3 trẻ em đi Tà Năng thì phụ thu sao,search_activity,d81137c7c94f1e56c6bc3188da3e4122,nhóm mình 12 người lớn 3 trẻ em đi Tà Năng thì phụ thu sao
189,trend_user_188,tour Tà Xùa có bao gồm vé xe giường nằm cabin đôi không,search_price,ed7c557b8de664ebd034c430a98c482c,tour Tà Xùa có bao gồm vé xe giường nằm cabin đôi không
191,trend_user_190,cho mình xin báo giá glamping ở Hà Giang cho 5 người,search_price,19d17e7f369510800596e67b3be6a1e1,cho mình xin báo giá glamping ở Hà Giang cho 5 người
193,trend_user_192,tour Trị An có bao gồm vé xe giường nằm cabin đôi không,ask_tour_info,d58842bf8f0f28d7234967a275d277d0,tour Trị An có bao gồm vé xe giường nằm cabin đôi không
194,trend_user_193,review đi săn mây ở Tà Năng 5 ngày 4 đêm,search_activity,ae7892ca5851f9129477548f963c8c84,review đi săn mây ở Tà Năng 5 ngày 4 đêm
195,trend_user_194,tour Măng Đen có bao gồm vé xe giường nằm cabin đôi không,search_travel,97dfaf27fb2899bc0275c91ae40c170c,tour Măng Đen có bao gồm vé xe giường nằm cabin đôi không
196,trend_user_195,mình muốn tìm bãi cắm trại staycation gần Phú Quý đi 5 ngày,ask_tour_info,129b8820ce84e360f042529e295d1e6c,mình muốn tìm bãi cắm trại staycation gần Phú Quý đi 5 ngày
198,trend_user_197,tư vấn lịch trình đi Tà Xùa tự túc 4 ngày,search_travel,cc066d9601ab2e1c3d195f82f4e2164c,tư vấn lịch trình đi Tà Xùa tự túc 4 ngày
199,trend_user_198,người lớn tuổi ngồi xe lăn có đi tour Tà Năng 5 ngày được không,ask_tour_info,11db80be24bedd1a013383777c79ba52,người lớn tuổi ngồi xe lăn có đi tour Tà Năng 5 ngày được không
201,trend_user_200,nhóm mình 12 người lớn 1 trẻ em đi Hà Giang thì phụ thu sao,search_activity,780301f2e11c19cc16f3135ce7445366,nhóm mình 12 người lớn 1 trẻ em đi Hà Giang thì phụ thu sao
202,trend_user_201,review đi săn mây ở Trị An 5 ngày 4 đêm,ask_tour_info,62d54bc27f1409a83b67b723773860de,review đi săn mây ở Trị An 5 ngày 4 đêm
203,trend_user_202,nhóm mình 7 người lớn 2 trẻ em đi Hà Giang thì phụ thu sao,search_travel,c8043b86e7bf553d9d820f8a8a576584,nhóm mình 7 người lớn 2 trẻ em đi Hà Giang thì phụ thu sao
204,trend_user_203,tư vấn lịch trình đi Măng Đen tự túc 2 ngày,search_travel,5c008ee49a6ff61e36583f98ac3767b7,tư vấn lịch trình đi Măng Đen tự túc 2 ngày
206,trend_user_205,có tour chữa lành nào đi Phú Quý khoảng 5 ngày không,search_activity,b995f4cfdae601ae62027285c15d77ea,có tour chữa lành nào đi Phú Quý khoảng 5 ngày không
