session_id,raw_text,predicted_intent,confidence_score,destination,parsed_budget,no_results_flag,timestamp,segment_label
drift_82275_532,ăn gì ở Hội An,search_food_dining,0.921,Hội An,,0,2026-04-30 01:59:08.305982,reference
drift_79612_101,thông tin chi tiết tour Vũng Tàu bot ơi,ask_tour_info,0.853,Vũng Tàu,3000000.0,0,2026-04-30 02:20:45.928009,reference
drift_94561_84,không phải,deny,0.984,,,0,2026-04-30 02:42:23.550037,reference
drift_44010_637,khoảng 4 ngày 3 đêm,inform,0.95,,5000000.0,0,2026-04-30 03:04:01.172064,reference
drift_78909_256,phương tiện đi Hà Nội,ask_transportation,0.938,Hà Nội,,0,2026-04-30 03:25:38.794092,reference
drift_97840_637,khoảng 2 ngày 3 đêm,inform,0.864,,2000000.0,0,2026-04-30 03:47:16.416119,reference
drift_94551_926,tháng 5,inform,0.874,,15000000.0,0,2026-04-30 04:08:54.038147,reference
drift_14085_951,mình cần tìm tour Sapa giá rẻ,search_travel,0.982,Sapa,20000000.0,0,2026-04-30 04:30:31.660174,reference
drift_33184_694,hey shop,greet,0.88,,,0,2026-04-30 04:52:09.282202,reference
drift_22991_969,đi tàu hỏa nhé,inform,0.873,,,0,2026-04-30 05:13:46.904230,reference
drift_85333_806,đi Hội An 3 ngày 2 đêm nên đi đâu,ask_itinerary,0.95,Hội An,,0,2026-04-30 05:35:24.526257,reference
drift_23715_662,hoàn tiền thế nào nha,ask_policy_booking,0.875,,,0,2026-04-30 05:57:02.148285,reference
drift_50174_146,tìm tour Sapa 4 ngày 1 đêm,search_travel,0.934,Sapa,3000000.0,0,2026-04-30 06:18:39.770312,reference
drift_81353_998,muốn đi du lịch Hà Nội 2000k,search_travel,0.85,Hà Nội,5000000.0,0,2026-04-30 06:40:17.392340,reference
drift_12936_125,cho mình hỏi tour Vũng Tàu,search_travel,0.91,Vũng Tàu,15000000.0,0,2026-04-30 07:01:55.014367,reference
drift_17522_874,có được hoàn không,ask_policy_booking,0.921,,,0,2026-04-30 07:23:32.636395,reference
drift_10968_974,xin chào,greet,0.931,,,0,2026-04-30 07:45:10.258422,reference
drift_18631_273,cho thuê xe cắm trại,search_activity,0.897,,,0,2026-04-30 08:06:47.880450,reference
drift_93102_596,đi Đà Lạt mùa nào đẹp,search_travel,0.916,Đà Lạt,15000000.0,0,2026-04-30 08:28:25.502477,reference
drift_15337_442,từ Đà Nẵng đi Phú Quốc bằng xe gì,search_travel,0.929,Phú Quốc,,0,2026-04-30 08:50:03.124505,reference
drift_72372_351,gợi ý điểm du lịch,search_destination,0.883,,,0,2026-04-30 09:11:40.746532,reference
drift_46288_370,ở Hà Nội có homestay nào tốt,search_accommodation,0.919,Hà Nội,20000000.0,0,2026-04-30 09:33:18.368560,reference
drift_17616_243,nên đi đâu chơi,search_destination,0.987,,,0,2026-04-30 09:54:55.990587,reference
drift_57458_318,mở cửa hàng lúc mấy giờ,out_of_scope,0.987,,,0,2026-04-30 10:16:33.612615,reference
drift_84561_635,Phú Quốc có gì chơi,ask_location_feature,0.958,Phú Quốc,,0,2026-04-30 10:38:11.234643,reference
drift_92873_982,tháng 8 đi đâu đẹp,search_destination,0.854,,,0,2026-04-30 10:59:48.856670,reference
drift_31264_757,cho mình xin khách sạn Hội An,search_accommodation,0.889,Hội An,10000000.0,0,2026-04-30 11:21:26.478698,reference
drift_12309_944,đi Hội An bằng gì,ask_transportation,0.955,Hội An,,0,2026-04-30 11:43:04.100725,reference
drift_71202_99,đi Vũng Tàu bằng gì,ask_transportation,0.878,Vũng Tàu,,0,2026-04-30 12:04:41.722753,reference
drift_29252_604,không có,deny,0.881,,,0,2026-04-30 12:26:19.344780,reference
drift_79372_771,tháng 11 đi đâu đẹp nha,search_destination,0.89,,,0,2026-04-30 12:47:56.966808,reference
drift_70185_976,có quán nào ngon ở Đà Nẵng,search_food_dining,0.932,Đà Nẵng,,0,2026-04-30 13:09:34.588835,reference
drift_53670_455,cho thuê xe trekking gấp ạ,search_activity,0.858,,,0,2026-04-30 13:31:12.210863,reference
drift_20684_680,đi xe khách nhé,inform,0.956,,15000000.0,0,2026-04-30 13:52:49.832890,reference
drift_97503_990,có chỗ nào trekking không,search_activity,0.931,,,0,2026-04-30 14:14:27.454918,reference
drift_88742_419,tháng 3,inform,0.899,,2000000.0,0,2026-04-30 14:36:05.076945,reference
drift_15291_596,không phải,deny,0.958,,,0,2026-04-30 14:57:42.698973,reference
drift_22242_624,cảm ơn,goodbye,0.86,,,0,2026-04-30 15:19:20.321000,reference
drift_67640_30,có villa nào ở Nha Trang không shop,search_accommodation,0.938,Nha Trang,2000000.0,0,2026-04-30 15:40:57.943028,reference
drift_86871_951,alo shop,greet,0.946,,,0,2026-04-30 16:02:35.565056,reference
drift_67070_596,ừ nhé,affirm,0.965,,,0,2026-04-30 16:24:13.187083,reference
drift_87390_991,tháng 1 đi đâu đẹp,search_destination,0.874,,,0,2026-04-30 16:45:50.809111,reference
drift_76053_863,tháng 12 đi đâu đẹp,search_destination,0.881,,,0,2026-04-30 17:07:28.431138,reference
drift_39939_624,Vũng Tàu có đặc sản gì ạ,search_food_dining,0.969,Vũng Tàu,,0,2026-04-30 17:29:06.053166,reference
drift_80748_943,cho em xin tour Hà Nội 8 triệu nha,search_travel,0.934,Hà Nội,10000000.0,0,2026-04-30 17:50:43.675193,reference
drift_28943_786,tạm biệt,goodbye,0.904,,,0,2026-04-30 18:12:21.297221,reference
drift_70317_526,đi dù lượn ở đâu tư vấn với,search_activity,0.904,,,0,2026-04-30 18:33:58.919248,reference
drift_31218_347,đi trekking ở đâu bot ơi,search_activity,0.918,,,0,2026-04-30 18:55:36.541276,reference
drift_73958_403,tour này có hdv không,ask_tour_info,0.879,,20000000.0,0,2026-04-30 19:17:14.163303,reference
drift_10952_666,tìm nhà nghỉ giá rẻ Hà Nội,search_accommodation,0.896,Hà Nội,10000000.0,0,2026-04-30 19:38:51.785331,reference
drift_59048_88,Vũng Tàu,inform,0.87,Vũng Tàu,15000000.0,0,2026-04-30 20:00:29.407358,reference
drift_80999_586,đi Hà Giang mùa nào đẹp,search_travel,0.924,Hà Giang,,0,2026-04-30 20:22:07.029386,reference
drift_80463_413,giải bài tập này giúp tôi,out_of_scope,0.902,,,0,2026-04-30 20:43:44.651413,reference
drift_48771_239,cho em xin tour Phú Quốc 5 triệu,search_travel,0.86,Phú Quốc,,0,2026-04-30 21:05:22.273441,reference
drift_76610_941,gợi ý lịch trình Hà Nội 2 ngày 3 đêm,ask_itinerary,0.946,Hà Nội,20000000.0,0,2026-04-30 21:26:59.895469,reference
drift_26161_119,ăn gì ở Đà Nẵng,search_food_dining,0.868,Đà Nẵng,,0,2026-04-30 21:48:37.517496,reference
drift_47518_640,đi xe máy nhé,inform,0.873,,,0,2026-04-30 22:10:15.139524,reference
drift_34096_730,Sapa có gì đẹp,ask_location_feature,0.868,Sapa,,0,2026-04-30 22:31:52.761551,reference
drift_27080_154,tìm tour Nha Trang 3 ngày 3 đêm nhé,search_travel,0.947,Nha Trang,3000000.0,0,2026-04-30 22:53:30.383579,reference
drift_64729_485,không có,deny,0.895,,,0,2026-04-30 23:15:08.005606,reference
drift_40285_843,có tour nào đi Vũng Tàu không,search_travel,0.927,Vũng Tàu,8000000.0,0,2026-04-30 23:36:45.627634,reference
drift_32686_292,alo,greet,0.979,,,0,2026-04-30 23:58:23.249661,reference
drift_63927_655,cho mình xin villa Vũng Tàu,search_accommodation,0.935,Vũng Tàu,,0,2026-05-01 00:20:00.871689,reference
drift_76112_173,khoảng 3 ngày 2 đêm,inform,0.896,,8000000.0,0,2026-05-01 00:41:38.493716,reference
drift_54617_78,muốn đi du lịch Vũng Tàu 2000k ạ,search_travel,0.985,Vũng Tàu,10000000.0,0,2026-05-01 01:03:16.115744,reference
drift_72707_510,cảm ơn shop,goodbye,0.969,,,0,2026-05-01 01:24:53.737771,reference
drift_15664_33,không phải,deny,0.982,,,0,2026-05-01 01:46:31.359799,reference
drift_14507_352,bye ạ,goodbye,0.878,,,0,2026-05-01 02:08:08.981827,reference
drift_61158_503,có,affirm,0.968,,,0,2026-05-01 02:29:46.603854,reference
drift_60090_330,tìm tour Phú Quốc 5 ngày 3 đêm,search_travel,0.936,Phú Quốc,2000000.0,0,2026-05-01 02:51:24.225882,reference
drift_23977_926,muốn cắm trại ở Đà Lạt,search_activity,0.932,Đà Lạt,,0,2026-05-01 03:13:01.847909,reference
drift_65147_561,xin chào,greet,0.951,,,0,2026-05-01 03:34:39.469937,reference
drift_74103_365,Phú Quốc có đặc sản gì,search_food_dining,0.98,Phú Quốc,,0,2026-05-01 03:56:17.091964,reference
drift_59140_435,cho thuê xe trekking nha,search_activity,0.979,,,0,2026-05-01 04:17:54.713992,reference
drift_65615_993,bye ạ,goodbye,0.927,,,0,2026-05-01 04:39:32.336019,reference
drift_74090_577,cắm trại,inform,0.951,,8000000.0,0,2026-05-01 05:01:09.958047,reference
drift_66369_799,tour này có hdv không,ask_tour_info,0.948,,10000000.0,0,2026-05-01 05:22:47.580074,reference
drift_85752_831,ok cảm ơn,goodbye,0.955,,,0,2026-05-01 05:44:25.202102,reference
drift_30391_277,muốn đi du lịch Nha Trang 10000k,search_travel,0.873,Nha Trang,,0,2026-05-01 06:06:02.824129,reference
drift_15172_95,tìm chỗ trekking bot ơi,search_activity,0.864,,,0,2026-05-01 06:27:40.446157,reference
drift_12933_237,tháng 10,inform,0.946,,3000000.0,0,2026-05-01 06:49:18.068184,reference
drift_41651_702,đi xe khách nhé,inform,0.954,,8000000.0,0,2026-05-01 07:10:55.690212,reference
drift_66953_795,không,deny,0.96,,,0,2026-05-01 07:32:33.312240,reference
drift_47856_824,lịch trình tour Vũng Tàu,ask_tour_info,0.919,Vũng Tàu,5000000.0,0,2026-05-01 07:54:10.934267,reference
drift_51123_319,ở Hội An có resort nào tốt,search_accommodation,0.957,Hội An,,0,2026-05-01 08:15:48.556295,reference
drift_40689_434,ăn gì ở Đà Nẵng ạ,search_food_dining,0.864,Đà Nẵng,,0,2026-05-01 08:37:26.178322,reference
drift_94528_402,tìm villa giá rẻ Hà Giang,search_accommodation,0.852,Hà Giang,2000000.0,0,2026-05-01 08:59:03.800350,reference
drift_80372_375,thông tin chi tiết tour Vũng Tàu tư vấn với,ask_tour_info,0.893,Vũng Tàu,8000000.0,0,2026-05-01 09:20:41.422377,reference
drift_22712_33,tìm homestay giá rẻ Hội An,search_accommodation,0.899,Hội An,,0,2026-05-01 09:42:19.044405,reference
drift_76747_111,thông tin chi tiết tour Hà Nội,ask_tour_info,0.891,Hà Nội,3000000.0,0,2026-05-01 10:03:56.666432,reference
drift_77924_406,gợi ý lịch trình Đà Lạt 3 ngày 1 đêm,ask_itinerary,0.913,Đà Lạt,,0,2026-05-01 10:25:34.288460,reference
drift_34224_268,ok shop,affirm,0.936,,,0,2026-05-01 10:47:11.910487,reference
drift_18755_992,chào bạn,greet,0.93,,,0,2026-05-01 11:08:49.532515,reference
drift_78008_167,có quán nào ngon ở Hà Giang tư vấn với,search_food_dining,0.932,Hà Giang,,0,2026-05-01 11:30:27.154542,reference
drift_26002_208,muốn cắm trại ở Hội An,search_activity,0.913,Hội An,,0,2026-05-01 11:52:04.776570,reference
drift_94361_172,khoảng 2 ngày 3 đêm ạ,inform,0.883,,,0,2026-05-01 12:13:42.398597,reference
drift_36261_757,Huế,inform,0.855,Huế,,0,2026-05-01 12:35:20.020625,reference
drift_56307_335,tầm 15 triệu ạ,inform,0.968,,,0,2026-05-01 12:56:57.642653,reference
drift_26943_710,dù lượn,inform,0.937,,,0,2026-05-01 13:18:35.264680,reference
drift_19516_845,tìm chỗ trekking gấp ạ,search_activity,0.912,,,0,2026-05-01 13:40:12.886708,reference
drift_74010_28,chi phí tour Phú Quốc,search_price,0.952,Phú Quốc,8000000.0,0,2026-05-01 14:01:50.508735,reference
drift_69746_502,được,affirm,0.879,,,0,2026-05-01 14:23:28.130763,reference
drift_34785_534,đi Sapa 5 ngày 3 đêm nên đi đâu nhé,ask_itinerary,0.889,Sapa,3000000.0,0,2026-05-01 14:45:05.752790,reference
drift_19055_179,có được hoàn không gấp ạ,ask_policy_booking,0.905,,,0,2026-05-01 15:06:43.374818,reference
drift_88596_1,nên đi đâu chơi,search_destination,0.88,,,0,2026-05-01 15:28:20.996845,reference
drift_60228_622,hi,greet,0.933,,,0,2026-05-01 15:49:58.618873,reference
drift_56445_981,có được hoàn không nhé,ask_policy_booking,0.859,,,0,2026-05-01 16:11:36.240900,reference
drift_31291_330,hoàn tiền thế nào,ask_policy_booking,0.865,,,0,2026-05-01 16:33:13.862928,reference
drift_41908_794,từ Vinh đi Nha Trang bằng xe gì,search_travel,0.903,Nha Trang,10000000.0,0,2026-05-01 16:54:51.484955,reference
drift_55287_815,hoàn tiền thế nào,ask_policy_booking,0.943,,,0,2026-05-01 17:16:29.106983,reference
drift_79869_728,có,affirm,0.89,,,0,2026-05-01 17:38:06.729010,reference
drift_77092_669,bạn là người hay máy,bot_challenge,0.959,,,0,2026-05-01 17:59:44.351038,reference
drift_25747_956,ok bạn nhé,affirm,0.918,,,0,2026-05-01 18:21:21.973066,reference
drift_69519_118,tìm chỗ dù lượn ạ,search_activity,0.873,,,0,2026-05-01 18:42:59.595093,reference
drift_82976_392,đi Hội An mùa nào đẹp bot ơi,search_travel,0.893,Hội An,5000000.0,0,2026-05-01 19:04:37.217121,reference
drift_51611_1,cho mình xin villa Hà Nội gấp ạ,search_accommodation,0.875,Hà Nội,2000000.0,0,2026-05-01 19:26:14.839148,reference
drift_62292_663,chính sách hủy tour gấp ạ,ask_policy_booking,0.872,,,0,2026-05-01 19:47:52.461176,reference
drift_97586_355,chính sách hủy tour,ask_policy_booking,0.989,,,0,2026-05-01 20:09:30.083203,reference
drift_38088_977,đi Hà Nội mùa nào đẹp,search_travel,0.968,Hà Nội,5000000.0,0,2026-05-01 20:31:07.705231,reference
drift_53716_545,từ Sài Gòn đi Vũng Tàu bằng xe gì,search_travel,0.95,Vũng Tàu,20000000.0,0,2026-05-01 20:52:45.327258,reference
drift_36906_44,muốn cắm trại ở Vũng Tàu,search_activity,0.918,Vũng Tàu,,0,2026-05-01 21:14:22.949286,reference
drift_54982_298,Vũng Tàu có đặc sản gì gấp ạ,search_food_dining,0.869,Vũng Tàu,,0,2026-05-01 21:36:00.571313,reference
drift_64923_597,đi Đà Lạt 4 ngày 2 đêm nên đi đâu shop,ask_itinerary,0.927,Đà Lạt,,0,2026-05-01 21:57:38.193341,reference
drift_19103_606,tầm 2000k,inform,0.988,,,0,2026-05-01 22:19:15.815368,reference
drift_97759_667,không phải,deny,0.921,,,0,2026-05-01 22:40:53.437396,reference
drift_59030_737,đi chèo thuyền ở đâu,search_activity,0.975,,,0,2026-05-01 23:02:31.059424,reference
drift_25051_764,đăng ký tour Đà Nẵng,book_tour,0.894,Đà Nẵng,,0,2026-05-01 23:24:08.681451,reference
drift_91970_384,bạn có biết nấu ăn không,out_of_scope,0.974,,,0,2026-05-01 23:45:46.303479,reference
drift_16362_593,có villa nào ở Hà Nội không ạ,search_accommodation,0.893,Hà Nội,,0,2026-05-02 00:07:23.925506,reference
drift_55264_539,tour này có hdv không shop,ask_tour_info,0.956,,,0,2026-05-02 00:29:01.547534,reference
drift_44720_4,ở Huế có nhà nghỉ nào tốt ạ,search_accommodation,0.917,Huế,10000000.0,0,2026-05-02 00:50:39.169561,reference
drift_34386_347,muốn đạp xe ở Sapa,search_activity,0.938,Sapa,,0,2026-05-02 01:12:16.791589,reference
drift_99060_363,đồ ăn Hà Nội thế nào,search_food_dining,0.899,Hà Nội,,0,2026-05-02 01:33:54.413616,reference
drift_57649_544,ừ,affirm,0.892,,,0,2026-05-02 01:55:32.035644,reference
drift_41547_643,gợi ý lịch trình Huế 3 ngày 3 đêm,ask_itinerary,0.879,Huế,2000000.0,0,2026-05-02 02:17:09.657671,reference
drift_84872_81,gợi ý điểm du lịch,search_destination,0.977,,,0,2026-05-02 02:38:47.279699,reference
drift_36656_159,có nơi nào đẹp để đi chơi không,search_destination,0.955,,,0,2026-05-02 03:00:24.901726,reference
drift_71945_479,có chỗ nào trekking không nhé,search_activity,0.967,,,0,2026-05-02 03:22:02.523754,reference
drift_37529_349,muốn đi du lịch Phú Quốc 8000k ạ,search_travel,0.93,Phú Quốc,20000000.0,0,2026-05-02 03:43:40.145781,reference
drift_45573_723,mình cần tìm tour Nha Trang giá rẻ,search_travel,0.96,Nha Trang,,0,2026-05-02 04:05:17.767809,reference
drift_28868_856,tháng 12,inform,0.944,,,0,2026-05-02 04:26:55.389837,reference
